Date,Product,Region,Sales_Rep,Quantity,Unit_Price,Total_Sales
2023-01-05,Product C,South,Bob Smith,25,38.50025979768314,962.5064949420786
2023-09-24,Product B,Central,Alice Johnson,23,127.19825106580355,2925.5597745134814
2023-04-09,Product E,North,David Wilson,46,59.51244739521688,2737.5725801799767
2023-03-21,Product D,North,David Wilson,4,498.3814583879586,1993.5258335518345
2023-09-30,Product E,West,David Wilson,29,315.70895978290287,9155.559833704183
2023-05-04,Product B,Central,David Wilson,35,190.20208192987192,6657.0728675455175
2023-04-02,Product E,Central,Eva Brown,2,75.56383077694947,151.12766155389895
2023-09-03,Product E,South,Bob Smith,39,313.28461457378353,12218.099968377557
2023-01-13,Product E,South,Bob Smith,45,488.17813990592634,21968.016295766687
2023-12-04,Product E,Central,David Wilson,17,63.77073735197672,1084.1025349836043
2023-07-07,Product C,Central,David Wilson,26,72.3278837168503,1880.5249766381075
2023-02-03,Product D,West,Bob Smith,40,407.2361047132705,16289.444188530819
2023-08-09,Product D,Central,Bob Smith,21,478.5488734179847,10049.526341777679
2023-04-23,Product A,North,Alice Johnson,41,347.1860059824057,14234.626245278632
2023-03-01,Product E,North,Bob Smith,40,236.12395766611974,9444.958306644789
2023-07-22,Product B,East,Alice Johnson,15,445.80154890313366,6687.023233547005
2023-12-09,Product E,East,Eva Brown,32,494.25488279006436,15816.15624928206
2023-03-28,Product E,Central,Alice Johnson,23,360.9984601507143,8302.96458346643
2023-04-19,Product C,East,Alice Johnson,5,259.2038518293134,1296.019259146567
2023-08-20,Product B,West,Carol Davis,15,471.7345409398645,7076.018114097968
2023-01-28,Product C,East,Bob Smith,5,279.311861422273,1396.5593071113651
2023-12-18,Product B,West,Alice Johnson,31,393.41761303632956,12195.946004126215
2023-12-26,Product A,North,Bob Smith,15,110.786758475822,1661.80137713733
2023-02-18,Product D,West,Alice Johnson,41,480.3149938572052,19692.914748145413
2023-04-29,Product B,South,Eva Brown,36,153.48279798347272,5525.380727405018
2023-09-15,Product E,Central,David Wilson,34,72.766915719438,2474.075134460892
2023-09-28,Product A,South,Alice Johnson,25,194.2365160712426,4855.912901781065
2023-11-30,Product D,South,Alice Johnson,22,144.1577406819122,3171.4702950020683
2023-08-01,Product D,East,Alice Johnson,21,150.09432672718847,3151.980861270958
2023-02-01,Product A,West,Alice Johnson,47,133.59809988494717,6279.110694592518
2023-05-29,Product D,East,Carol Davis,25,469.32015258358825,11733.003814589707
2023-10-12,Product E,South,Bob Smith,29,345.79602789677796,10028.084809006561
2023-10-10,Product B,East,David Wilson,13,212.5740601546781,2763.4627820108153
2023-07-08,Product A,East,Carol Davis,23,347.55379800454443,7993.737354104522
2023-10-22,Product D,North,Eva Brown,47,88.81560523929564,4174.333446246895
2023-07-05,Product A,West,Eva Brown,3,495.9868761611881,1487.9606284835643
2023-04-14,Product C,South,Bob Smith,43,162.35517570370155,6981.272555259166
2023-10-29,Product C,East,Bob Smith,41,193.8773531769065,7948.971480253166
2023-03-27,Product B,South,Bob Smith,12,375.4095535383037,4504.914642459645
2023-01-14,Product A,South,Eva Brown,20,170.19649200565877,3403.9298401131755
2023-08-31,Product C,Central,Bob Smith,4,198.83418269320728,795.3367307728291
2023-05-12,Product D,South,Carol Davis,26,201.84759210713636,5248.037394785545
2023-11-06,Product E,South,David Wilson,45,55.56541351333476,2500.443608100064
2023-04-29,Product D,Central,Carol Davis,24,61.027305380940845,1464.6553291425803
2023-07-05,Product D,West,Bob Smith,30,404.44460984357715,12133.338295307314
2023-06-08,Product D,West,Carol Davis,49,321.8804190140855,15772.14053169019
2023-07-30,Product E,West,Bob Smith,38,112.82257747964061,4287.257944226343
2023-12-22,Product C,Central,David Wilson,30,170.81444926856267,5124.43347805688
2023-07-02,Product A,South,David Wilson,49,303.130394091232,14853.389310470367
2023-09-08,Product C,North,David Wilson,45,95.00523639031904,4275.235637564357
2023-07-17,Product D,West,Carol Davis,15,210.85339595118123,3162.8009392677186
2023-03-19,Product D,East,Alice Johnson,26,298.00698682247713,7748.181657384405
2023-03-02,Product B,South,Carol Davis,13,353.1234601278153,4590.604981661599
2023-12-16,Product E,North,Carol Davis,45,393.4651505271556,17705.931773722
2023-02-04,Product B,East,Eva Brown,29,236.24907867006726,6851.22328143195
2023-02-18,Product E,South,Eva Brown,36,75.40518648381246,2714.5867134172486
2023-09-17,Product B,East,Alice Johnson,24,367.4590320396744,8819.016768952186
2023-11-22,Product A,West,David Wilson,31,462.08529846301695,14324.644252353526
2023-02-05,Product E,West,Bob Smith,30,27.780935080616057,833.4280524184817
2023-06-12,Product D,South,Bob Smith,25,390.5881729080388,9764.70432270097
2023-02-13,Product A,Central,David Wilson,43,40.700069693123716,1750.1029968043197
2023-09-07,Product C,North,Eva Brown,4,164.4428653377059,657.7714613508236
2023-01-07,Product B,East,David Wilson,24,284.48240989630256,6827.577837511261
2023-07-18,Product E,South,Bob Smith,44,395.97937760857724,17423.092614777397
2023-05-22,Product A,Central,Bob Smith,21,135.69973059768142,2849.69434255131
2023-05-11,Product B,Central,Alice Johnson,19,161.26238425286567,3063.985300804448
2023-12-07,Product D,North,Eva Brown,41,20.797228545777052,852.6863703768591
2023-04-27,Product D,South,Alice Johnson,7,345.03951173275084,2415.276582129256
2023-10-16,Product A,Central,Eva Brown,34,207.94915940000865,7070.271419600294
2023-02-12,Product A,North,Alice Johnson,34,50.045419415921344,1701.5442601413256
2023-07-17,Product B,North,Bob Smith,21,79.07021748566694,1660.4745671990058
2023-01-22,Product A,South,Bob Smith,34,432.37358511809344,14700.701894015177
2023-05-05,Product D,West,Carol Davis,10,489.250290807029,4892.50290807029
2023-08-31,Product A,Central,David Wilson,26,171.8053817870338,4466.939926462879
2023-08-02,Product E,West,David Wilson,14,127.01014357695425,1778.1420100773594
2023-06-17,Product B,West,Bob Smith,49,23.312036400524313,1142.2897836256914
2023-09-05,Product C,West,Alice Johnson,42,253.9281289368022,10664.981415345694
2023-09-19,Product D,North,Carol Davis,43,390.04980695341044,16772.14169899665
2023-11-03,Product C,West,Bob Smith,8,150.69759946144202,1205.5807956915362
2023-10-24,Product D,Central,Eva Brown,8,400.9779382117881,3207.823505694305
2023-02-16,Product B,South,David Wilson,20,283.3318940453087,5666.637880906173
2023-09-20,Product C,Central,Carol Davis,27,145.6831988151264,3933.4463680084127
2023-02-09,Product A,West,Alice Johnson,8,448.0549579038565,3584.439663230852
2023-06-25,Product C,Central,David Wilson,30,311.496032284203,9344.88096852609
2023-09-03,Product C,North,David Wilson,11,257.55131905255274,2833.06450957808
2023-01-16,Product A,Central,Eva Brown,21,365.3409185334215,7672.159289201851
2023-06-11,Product D,West,Bob Smith,31,331.5056688300845,10276.67573373262
2023-05-08,Product C,Central,Alice Johnson,3,268.4258148401114,805.2774445203343
2023-10-08,Product D,South,Bob Smith,5,486.99412108832485,2434.9706054416242
2023-09-22,Product D,South,Carol Davis,44,494.1521276598593,21742.69361703381
2023-12-30,Product D,North,Eva Brown,24,252.16409915264694,6051.938379663527
2023-05-11,Product D,West,Bob Smith,48,358.8868699620826,17226.569758179965
2023-09-05,Product B,North,Eva Brown,35,79.56627498288701,2784.8196244010455
2023-02-10,Product C,South,Bob Smith,11,329.0623165920203,3619.685482512223
2023-06-25,Product A,Central,David Wilson,11,423.4312899392949,4657.744189332244
2023-12-13,Product C,North,David Wilson,16,62.10842586532955,993.7348138452728
2023-09-05,Product D,North,David Wilson,1,420.1501513690406,420.1501513690406
2023-12-09,Product C,West,Bob Smith,25,115.6096357077526,2890.240892693815
2023-05-23,Product E,East,Alice Johnson,46,382.031879199813,17573.466443191395
2023-02-08,Product A,East,David Wilson,13,450.4352202083212,5855.657862708175
2023-04-25,Product A,East,Carol Davis,23,92.84972447443633,2135.5436629120354
2023-12-20,Product D,Central,Carol Davis,19,488.6321609702231,9284.011058434238
2023-11-30,Product C,West,Alice Johnson,25,216.50758037383125,5412.6895093457815
2023-09-27,Product B,North,Carol Davis,46,456.27737920551846,20988.759443453848
2023-10-02,Product A,West,David Wilson,45,481.7770749662727,21679.968373482272
2023-03-04,Product A,East,David Wilson,19,437.6493813874027,8315.33824636065
2023-04-30,Product E,Central,David Wilson,40,139.02473403906805,5560.9893615627225
2023-09-22,Product A,West,Alice Johnson,14,303.1951673059018,4244.732342282625
2023-08-15,Product A,East,Alice Johnson,4,41.600722912092095,166.40289164836838
2023-09-21,Product B,North,Eva Brown,46,176.7988632412867,8132.747709099189
2023-04-30,Product E,North,David Wilson,35,141.21057098928375,4942.369984624931
2023-02-19,Product E,Central,Eva Brown,48,417.3730220489978,20033.905058351895
2023-06-21,Product A,Central,Eva Brown,9,455.71714152393025,4101.454273715372
2023-11-20,Product C,North,Bob Smith,24,478.3539970231686,11480.495928556045
2023-01-08,Product E,West,David Wilson,46,389.20103130777665,17903.247440157727
2023-12-27,Product C,South,David Wilson,29,93.58513666297411,2713.9689632262493
2023-01-21,Product C,West,Alice Johnson,29,323.40672497706413,9378.79502433486
2023-11-07,Product D,West,David Wilson,22,395.5076642256741,8701.16861296483
2023-03-08,Product D,South,Bob Smith,27,374.3610189265143,10107.747511015887
2023-09-14,Product A,South,Alice Johnson,12,305.9951217648974,3671.941461178769
2023-10-10,Product C,West,Bob Smith,1,230.72799781233095,230.72799781233095
2023-04-19,Product A,East,Carol Davis,48,147.5347756028274,7081.669228935716
2023-11-08,Product A,Central,Eva Brown,38,428.5266388487471,16284.01227625239
2023-07-09,Product C,West,David Wilson,33,176.04171817598828,5809.3766998076135
2023-12-07,Product E,North,Bob Smith,43,31.750008363718674,1365.250359639903
2023-08-21,Product A,Central,Alice Johnson,41,410.9212676866413,16847.771975152293
2023-10-04,Product C,East,Alice Johnson,39,251.83782436665814,9821.675150299667
2023-09-24,Product C,East,Eva Brown,46,90.94993027554658,4183.696792675142
2023-06-17,Product D,East,David Wilson,8,454.72939125271193,3637.8351300216955
2023-04-19,Product D,Central,Alice Johnson,45,362.0303226111803,16291.364517503112
2023-09-07,Product E,North,Carol Davis,46,35.056336906629355,1612.5914977049504
2023-08-03,Product A,West,Bob Smith,18,66.09894265229352,1189.7809677412833
2023-06-10,Product D,South,Eva Brown,19,302.1975442415805,5741.753340590029
2023-03-25,Product A,North,David Wilson,15,377.4268745738685,5661.403118608027
2023-09-15,Product E,North,Bob Smith,2,445.1391415364577,890.2782830729154
2023-09-23,Product B,East,Alice Johnson,39,438.11231079850904,17086.380121141854
2023-03-25,Product C,Central,Bob Smith,29,42.55748373432969,1234.167028295561
2023-12-16,Product B,North,Alice Johnson,12,154.56994675053656,1854.8393610064386
2023-11-17,Product E,South,Eva Brown,21,405.93108865421095,8524.55286173843
2023-05-07,Product A,North,David Wilson,21,349.3214850679204,7335.751186426328
2023-05-26,Product D,East,Eva Brown,9,160.0936144013242,1440.8425296119178
2023-05-02,Product D,West,Bob Smith,32,412.9869630974564,13215.582819118605
2023-06-05,Product D,North,Carol Davis,48,16.03175447787704,769.5242149380979
2023-11-09,Product D,West,Alice Johnson,24,193.53091463985947,4644.741951356627
2023-06-05,Product E,West,Eva Brown,1,179.47995576155014,179.47995576155014
2023-05-28,Product C,Central,Bob Smith,18,322.0821355528242,5797.478439950835
2023-05-06,Product C,North,Alice Johnson,38,425.0983499499547,16153.737298098278
2023-06-25,Product D,West,Alice Johnson,31,347.25437553231615,10764.8856415018
2023-12-31,Product B,Central,Carol Davis,3,482.36852948767415,1447.1055884630225
2023-09-17,Product B,East,Carol Davis,27,88.41221886696508,2387.129909408057
2023-11-02,Product C,Central,Eva Brown,30,73.72341343045795,2211.7024029137388
2023-05-02,Product E,Central,Bob Smith,37,242.2631499567464,8963.736548399616
2023-05-14,Product D,South,David Wilson,9,492.1664499731275,4429.498049758147
2023-03-18,Product C,West,Alice Johnson,45,485.6636553018516,21854.86448858332
2023-10-05,Product D,Central,Eva Brown,41,281.3186278254255,11534.063740842445
2023-06-11,Product E,Central,Carol Davis,23,225.8162616530878,5193.774018021019
2023-02-11,Product B,Central,Carol Davis,49,258.6487193986736,12673.787250535008
2023-01-21,Product D,East,David Wilson,1,294.429124486911,294.429124486911
2023-10-07,Product E,East,Eva Brown,47,410.21089575856877,19279.91210065273
2023-09-30,Product C,West,Bob Smith,40,169.6533276065804,6786.133104263216
2023-06-01,Product B,East,Eva Brown,39,203.61749419951613,7941.0822737811295
2023-10-11,Product E,North,Eva Brown,36,454.40197632906865,16358.47114784647
2023-03-05,Product C,Central,Bob Smith,11,183.1957628679234,2015.1533915471575
2023-02-16,Product D,Central,Carol Davis,39,71.16219884375568,2775.3257549064715
2023-07-03,Product D,North,Bob Smith,12,485.1077861555667,5821.2934338668
2023-05-27,Product B,West,David Wilson,32,251.04623905180722,8033.479649657831
2023-07-02,Product B,West,Carol Davis,33,285.7287325209462,9429.048173191224
2023-07-22,Product A,East,Bob Smith,17,434.1328013560306,7380.25762305252
2023-08-07,Product B,West,Carol Davis,47,384.61861938081165,18077.07511089815
2023-09-17,Product E,East,Alice Johnson,8,428.44136380815684,3427.5309104652547
2023-12-03,Product A,North,Alice Johnson,32,127.78737046274706,4089.195854807906
2023-03-04,Product C,East,Eva Brown,13,486.05119077138846,6318.66548002805
2023-07-08,Product B,Central,Carol Davis,3,349.3408914531829,1048.0226743595488
2023-10-25,Product E,West,Bob Smith,41,146.592337483131,6010.285836808371
2023-07-03,Product A,East,Carol Davis,8,497.37783436439895,3979.0226749151916
2023-11-23,Product C,North,David Wilson,25,320.12410203243275,8003.102550810819
2023-02-06,Product E,Central,David Wilson,9,385.3968070698372,3468.5712636285352
2023-06-13,Product C,South,Alice Johnson,34,48.04817398908648,1633.6379156289404
2023-09-17,Product C,East,Carol Davis,14,406.03525290451887,5684.493540663264
2023-06-22,Product B,Central,Eva Brown,19,266.0625336750051,5055.188139825097
2023-01-16,Product B,North,Bob Smith,42,128.6932967340378,5405.118462829588
2023-12-24,Product D,South,Bob Smith,26,207.4079084899922,5392.605620739797
2023-04-21,Product D,South,Carol Davis,8,153.3323946246635,1226.659156997308
2023-04-30,Product C,Central,Eva Brown,39,120.75420892983986,4709.414148263754
2023-08-21,Product E,Central,Eva Brown,19,185.32890121563895,3521.24912309714
2023-11-09,Product A,North,Bob Smith,10,412.5016759048707,4125.016759048707
2023-02-23,Product D,West,Bob Smith,14,236.95463120815745,3317.3648369142043
2023-02-22,Product D,Central,Carol Davis,23,363.1210211887255,8351.783487340686
2023-01-12,Product B,South,Bob Smith,11,143.05805323150875,1573.6385855465962
2023-02-18,Product A,North,Bob Smith,29,32.95743517852553,955.7656201772403
2023-04-06,Product A,South,Alice Johnson,6,130.9436959089321,785.6621754535927
2023-11-16,Product E,West,Carol Davis,1,73.66566302249363,73.66566302249363
2023-05-17,Product C,South,David Wilson,4,396.57691117024353,1586.3076446809741
2023-11-03,Product E,East,Alice Johnson,6,194.8858464419645,1169.315078651787
2023-06-28,Product E,North,Bob Smith,23,251.96887982389504,5795.284235949586
2023-11-12,Product C,North,Bob Smith,47,91.80701348612737,4314.929633847986
2023-08-23,Product E,Central,Alice Johnson,24,382.9085172228837,9189.804413349208
2023-09-30,Product D,North,Alice Johnson,21,242.9492378465361,5101.933994777259
2023-07-30,Product D,Central,Bob Smith,17,186.4247282914794,3169.2203809551497
2023-10-31,Product D,North,Carol Davis,47,64.37898704672256,3025.81239119596
2023-09-13,Product C,West,Alice Johnson,7,386.10813797377995,2702.75696581646
2023-07-29,Product E,Central,David Wilson,31,362.6303701391599,11241.541474313955
2023-05-17,Product A,East,Alice Johnson,36,342.12846815192165,12316.62485346918
2023-06-22,Product E,South,Alice Johnson,24,466.09557568508,11186.293816441921
2023-10-19,Product B,East,David Wilson,6,325.96797597093376,1955.8078558256025
2023-05-29,Product D,North,David Wilson,21,150.83070226813408,3167.4447476308155
2023-08-15,Product E,North,Alice Johnson,10,276.4648066544563,2764.6480665445633
2023-10-30,Product E,South,Eva Brown,37,456.423664356018,16887.675581172665
2023-09-15,Product A,West,Bob Smith,35,251.50364637924883,8802.62762327371
2023-04-21,Product A,West,David Wilson,24,365.1796846643584,8764.312431944601
2023-08-16,Product B,West,Bob Smith,38,383.5314256907499,14574.194176248497
2023-04-29,Product D,North,David Wilson,12,71.51960523370016,858.2352628044019
2023-06-30,Product B,East,Alice Johnson,34,99.05220344763686,3367.774917219653
2023-08-12,Product E,North,Alice Johnson,7,180.56684065246117,1263.967884567228
2023-05-06,Product D,East,Eva Brown,36,278.70719773587047,10033.459118491337
2023-08-16,Product C,North,Carol Davis,8,393.7672225163267,3150.1377801306135
2023-08-05,Product E,East,David Wilson,40,42.19048088763923,1687.6192355055693
2023-06-06,Product B,South,David Wilson,13,376.2477592323801,4891.220870020941
2023-08-06,Product D,South,Alice Johnson,5,270.0613040905496,1350.306520452748
2023-11-27,Product D,North,Alice Johnson,26,105.95821122579231,2754.9134918706
2023-12-28,Product A,South,Alice Johnson,10,164.4220491749511,1644.220491749511
2023-12-05,Product C,Central,Eva Brown,8,321.61780651022696,2572.9424520818156
2023-12-17,Product D,East,Carol Davis,1,179.14418216216316,179.14418216216316
2023-02-21,Product D,North,Alice Johnson,46,40.47958082070435,1862.0607177524
2023-08-29,Product B,Central,David Wilson,41,229.35997845110498,9403.759116495305
2023-02-23,Product A,South,Carol Davis,34,128.5277141153157,4369.942279920733
2023-03-02,Product B,Central,Eva Brown,6,144.60486937346707,867.6292162408024
2023-03-27,Product B,South,Eva Brown,31,31.510971895072508,976.8401287472477
2023-01-06,Product E,West,Eva Brown,43,340.43099972149975,14638.53298802449
2023-07-28,Product C,Central,Bob Smith,11,202.01056524044864,2222.116217644935
2023-03-11,Product A,West,Carol Davis,48,209.27029429930573,10044.974126366675
2023-07-06,Product B,North,David Wilson,11,234.89210489487633,2583.8131538436396
2023-10-01,Product C,South,Bob Smith,6,103.15274839402653,618.9164903641592
2023-10-12,Product C,Central,Bob Smith,17,480.46644615866916,8167.9295846973755
2023-09-02,Product B,South,Eva Brown,42,243.6810521693053,10234.604191110822
2023-12-18,Product D,North,Carol Davis,39,392.8609319010591,15321.576344141304
2023-03-25,Product B,Central,David Wilson,9,419.3498371126417,3774.148534013775
2023-02-05,Product E,West,David Wilson,42,404.32902977495047,16981.81925054792
2023-08-04,Product B,West,Bob Smith,8,406.0549653824094,3248.4397230592754
2023-10-05,Product E,East,Alice Johnson,29,245.6361718354744,7123.448983228758
2023-05-21,Product E,South,David Wilson,9,85.36544207438781,768.2889786694903
2023-09-04,Product C,South,Carol Davis,1,32.00653650785177,32.00653650785177
2023-04-03,Product A,East,David Wilson,20,379.5898369400411,7591.796738800822
2023-06-12,Product C,North,Carol Davis,26,184.98936805724637,4809.723569488406
2023-10-01,Product E,West,Eva Brown,20,291.18221451121155,5823.644290224231
2023-03-23,Product D,North,Bob Smith,1,103.88054341006463,103.88054341006463
2023-12-31,Product D,West,Bob Smith,11,378.3683647891557,4162.052012680712
2023-07-12,Product A,South,Eva Brown,41,475.7249935818949,19504.72473685769
2023-07-16,Product C,East,Eva Brown,35,169.90583115667374,5946.704090483581
2023-04-19,Product D,South,Eva Brown,21,383.9230981646411,8062.385061457463
2023-10-06,Product B,West,Bob Smith,45,299.6538485966731,13484.423186850288
2023-02-10,Product C,West,Alice Johnson,27,43.81372038027999,1182.9704502675597
2023-09-28,Product C,Central,Alice Johnson,3,56.57599231101946,169.7279769330584
2023-10-10,Product E,West,Bob Smith,29,387.85017976742444,11247.655213255308
2023-01-04,Product C,South,Alice Johnson,49,274.1563308406443,13433.660211191569
2023-09-05,Product D,Central,Eva Brown,31,72.6547325989846,2252.2967105685225
2023-11-14,Product A,North,Eva Brown,6,36.77086580047643,220.62519480285857
2023-05-18,Product E,Central,David Wilson,3,442.5398465299768,1327.6195395899304
2023-12-08,Product D,West,David Wilson,38,368.5451209164643,14004.714594825644
2023-08-27,Product A,Central,Eva Brown,23,308.7191957118819,7100.5415013732845
2023-01-30,Product E,North,Carol Davis,14,71.42467313826896,999.9454239357653
2023-02-16,Product D,Central,Eva Brown,8,333.8969845811869,2671.1758766494954
2023-02-28,Product B,South,Carol Davis,34,392.509541538523,13345.324412309783
2023-01-09,Product A,East,Bob Smith,22,140.0098074021788,3080.2157628479335
2023-11-20,Product D,North,Carol Davis,21,284.4449317472638,5973.34356669254
2023-08-29,Product A,North,Carol Davis,36,486.48579952965065,17513.488783067423
2023-03-29,Product B,East,Alice Johnson,47,350.35175935410984,16466.53268964316
2023-06-16,Product E,North,Alice Johnson,34,405.4647428946845,13785.801258419273
2023-03-14,Product E,West,David Wilson,3,68.24845167676528,204.74535503029585
2023-02-18,Product D,Central,Alice Johnson,17,196.45367783624832,3339.7125232162216
2023-09-28,Product D,West,Bob Smith,49,22.344772840022387,1094.893869161097
2023-03-19,Product B,North,Bob Smith,4,283.90051070888927,1135.602042835557
2023-12-05,Product A,North,Alice Johnson,40,35.31767361240094,1412.7069444960375
2023-07-12,Product E,East,Eva Brown,48,402.0017060642039,19296.081891081787
2023-05-27,Product D,East,Carol Davis,10,406.30709243613387,4063.0709243613387
2023-04-05,Product D,West,Bob Smith,22,339.62446716236,7471.738277571921
2023-11-24,Product C,South,Carol Davis,18,131.27993583880186,2363.0388450984337
2023-11-24,Product D,North,Alice Johnson,12,150.94003723140233,1811.2804467768278
2023-11-27,Product E,East,David Wilson,17,468.14727160099505,7958.503617216916
2023-01-05,Product A,West,Eva Brown,33,150.02157905042594,4950.712108664056
2023-01-19,Product E,East,Bob Smith,30,193.22131303627867,5796.63939108836
2023-10-16,Product E,West,Carol Davis,29,59.67271980104798,1730.5088742303915
2023-01-29,Product B,South,Alice Johnson,8,43.07624787507275,344.609983000582
2023-06-06,Product B,North,Bob Smith,6,278.41450024782654,1670.4870014869593
2023-11-14,Product A,Central,Bob Smith,26,295.26978274536896,7677.014351379593
2023-08-07,Product A,West,Carol Davis,3,110.6131399663319,331.8394198989957
2023-12-11,Product C,South,David Wilson,24,331.810471102533,7963.451306460791
2023-01-22,Product B,East,Carol Davis,29,463.5058818474216,13441.670573575228
2023-01-20,Product C,North,David Wilson,44,234.4308837174468,10314.958883567659
2023-11-18,Product E,South,Carol Davis,6,132.9375923886402,797.6255543318413
2023-09-23,Product A,North,Alice Johnson,36,132.2669397507418,4761.609831026705
2023-09-15,Product E,West,Alice Johnson,19,61.89384415784124,1175.9830389989836
2023-09-23,Product E,East,Carol Davis,48,13.274243319705011,637.1636793458406
2023-09-05,Product D,South,Alice Johnson,45,209.9943285246821,9449.744783610695
2023-10-28,Product D,North,Alice Johnson,36,470.42924053381904,16935.452659217484
2023-05-18,Product D,North,Eva Brown,46,102.38489681713305,4709.70525358812
2023-10-15,Product A,South,Bob Smith,27,222.45556838998104,6006.300346529488
2023-09-01,Product C,Central,Alice Johnson,28,432.0466166493945,12097.305266183046
2023-05-12,Product E,East,Alice Johnson,27,14.43653917438178,389.78655770830807
2023-09-05,Product D,North,Carol Davis,41,128.59081919062982,5272.223586815822
2023-07-31,Product E,North,Eva Brown,23,34.509102642344985,793.7093607739347
2023-02-16,Product A,North,Eva Brown,43,131.30428743714435,5646.084359797207
2023-10-23,Product C,Central,Bob Smith,3,115.5187468774508,346.5562406323524
2023-06-10,Product C,South,Bob Smith,18,404.49425606287474,7280.896609131745
2023-10-02,Product D,East,Eva Brown,46,204.7495968805549,9418.481456505526
2023-12-24,Product A,East,Carol Davis,46,191.84533983076264,8824.885632215082
2023-03-14,Product E,East,Alice Johnson,39,141.73822204727483,5527.7906598437185
2023-10-11,Product A,Central,Alice Johnson,18,395.8196431086431,7124.753575955576
2023-12-07,Product B,Central,Bob Smith,43,322.59758871552197,13871.696314767445
2023-08-18,Product B,West,Bob Smith,43,468.7775045197741,20157.432694350286
2023-04-02,Product B,South,Carol Davis,13,157.51257813881338,2047.663515804574
2023-09-13,Product E,East,David Wilson,28,61.64267687282456,1725.9949524390877
2023-11-07,Product C,South,Alice Johnson,1,462.7731665086091,462.7731665086091
2023-12-07,Product E,Central,Alice Johnson,10,471.8403406848572,4718.403406848573
2023-08-30,Product C,Central,David Wilson,19,64.1116130714403,1218.1206483573658
2023-03-10,Product A,West,David Wilson,27,262.35277325776434,7083.524877959637
2023-01-23,Product A,Central,Eva Brown,24,396.75349567664597,9522.083896239503
2023-11-07,Product E,West,Bob Smith,49,257.7607351767598,12630.27602366123
2023-10-22,Product A,North,Eva Brown,9,48.043980234502826,432.39582211052544
2023-04-19,Product C,North,Eva Brown,42,443.34450804125595,18620.46933773275
2023-03-17,Product C,North,Alice Johnson,29,235.0027245289553,6815.079011339703
2023-03-28,Product E,West,Eva Brown,17,372.9068129582416,6339.415820290107
2023-03-26,Product B,Central,David Wilson,18,155.4254741897268,2797.6585354150825
2023-09-03,Product A,North,Carol Davis,32,446.5192121417419,14288.61478853574
2023-05-02,Product B,West,Carol Davis,36,68.02336919620663,2448.841291063439
2023-08-22,Product D,East,Carol Davis,15,377.2013218725679,5658.019828088519
2023-06-01,Product C,Central,Alice Johnson,47,379.39388618009326,17831.512650464385
2023-01-19,Product C,South,Bob Smith,1,109.79689750861559,109.79689750861559
2023-12-20,Product C,Central,Alice Johnson,34,20.849322981588436,708.8769813740068
2023-08-27,Product E,North,Eva Brown,29,225.15682697290595,6529.547982214272
2023-12-10,Product B,North,Eva Brown,5,384.7524765050459,1923.7623825252294
2023-01-07,Product B,North,Eva Brown,1,18.88078011240757,18.88078011240757
2023-01-17,Product C,North,Carol Davis,3,284.73236452008547,854.1970935602565
2023-04-27,Product C,South,David Wilson,16,14.889600562640194,238.2336090022431
2023-06-05,Product A,North,Eva Brown,22,423.22982221606276,9311.056088753381
2023-12-30,Product C,North,Eva Brown,19,412.0933912615275,7829.774433969022
2023-09-28,Product C,East,Eva Brown,46,200.0347840592963,9201.60006672763
2023-08-20,Product B,East,Bob Smith,32,30.57286016569823,978.3315253023434
2023-01-06,Product D,North,David Wilson,15,42.6167166779692,639.250750169538
2023-11-09,Product A,Central,Bob Smith,2,261.55042301020865,523.1008460204173
2023-12-01,Product D,Central,Carol Davis,42,167.36945479161722,7029.517101247923
2023-12-05,Product C,East,David Wilson,11,331.7974475135879,3649.771922649467
2023-04-17,Product C,East,Bob Smith,49,192.88816662582457,9451.520164665404
2023-06-08,Product D,South,Eva Brown,15,33.84225519423953,507.6338279135929
2023-05-16,Product A,South,Bob Smith,37,265.32586334911,9817.05694391707
2023-11-14,Product B,West,Alice Johnson,35,338.8671619560474,11860.35066846166
2023-07-11,Product D,Central,Carol Davis,7,334.617134001388,2342.319938009716
2023-08-08,Product E,South,Alice Johnson,16,381.7705073703211,6108.328117925138
2023-10-04,Product B,West,Bob Smith,37,275.40674492621235,10190.049562269856
2023-03-03,Product B,West,Bob Smith,13,359.2610613462472,4670.393797501213
2023-01-16,Product C,North,Eva Brown,2,218.1769130053626,436.3538260107252
2023-07-23,Product B,West,Carol Davis,15,283.38444812384336,4250.766721857651
2023-08-06,Product B,South,David Wilson,26,230.88037910431828,6002.889856712275
2023-11-14,Product A,North,Carol Davis,38,376.63408735262897,14312.095319399901
2023-03-02,Product A,Central,David Wilson,21,350.3740698579266,7357.8554670164585
2023-09-26,Product C,West,Bob Smith,39,390.6273368695413,15234.46613791211
2023-07-26,Product D,West,Bob Smith,37,376.4409014619152,13928.313354090862
2023-06-10,Product D,North,Eva Brown,22,26.50143789848737,583.0316337667222
2023-04-06,Product C,Central,David Wilson,46,336.7552217397725,15490.740200029533
2023-08-05,Product C,Central,Eva Brown,38,56.220438882611376,2136.3766775392323
2023-09-21,Product C,North,Eva Brown,38,56.50978904261816,2147.37198361949
2023-10-03,Product D,East,Eva Brown,31,402.6605160181662,12482.475996563153
2023-03-02,Product B,East,Eva Brown,27,128.33327777586524,3464.9984999483613
